username,discord id,Golden Elite,Silver Elite,Bronze Elite,Server Booster,ID Verified,Owner,Event Mananger,Dance Captain,Head Host,Head Admin,Head Security,Head Photographer,Head DJ,Photographer,Security,Host,Dancer,DJ,Triskel Developer,BLACKLIST,fake
Meiken56,211400407430332416,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XcoreyX,651594892744851466,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MrS4ndman,308394407718289408,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
『 M 』,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,
~Speck~,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,
kenwiel,156879547214725120,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snowwitch98,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sеraph Reaper,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
xpro_assassin5,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mizajiya26,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
ᴛʜᴇ sᴇxᴏʀᴄɪsᴛ,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
xSweet_Tx,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
・ᴘᴇᴘᴘᴇʀ・,760956459080482866,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
∗Nom∗,710718702152056852,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
